"a";"Art";"एक"
"aback";"Adv";"पीछे"
"aback";"Adv";"हतप्रभ"
"abacus";"N";"गिनतारा"
"abandon";"V";"छोडदेना"
"abandoned";"Adj";"छोडआहुआ"
"abandonment";"N";"परित्याग"
"abase";"V";"अवमानितकरना"
"abashed";"Adj";"लज्जित"
"abate";"V";"कमहोना"
"abatement";"N";"कमी"
"abattoir";"N";"वधशाला"
"abbess";"N";"मठाध्यक्षा"
"abbey";"N";"ईसाइयोकामठ"
"abbot";"N";"मठाध्यक्ष"
"abbreviate";"VT";"संक्षिप्तकरना"
"abbreviation";"N";"संक्षिप्ति"
"abdicate";"V";"स्वेच्छासेछोडना"
"abdication";"N";"पदत्याग"
"abdomen";"N";"पेट"
"abdominal";"Adj";"उदरसम्बन्धी"
"abduct";"V";"अपहरणकरना"
"abduction";"N";"अपहरण"
"aberrant";"Adj";"असामान्य"
"aberration";"N";"विकार"
"abet";"VT";"उकसानाबुरेकामकेलिये"
"abeyance";"N";"क्षणिकविराम"
"abhor";"VT";"घृणाकरना"
"abhorrence";"N";"घृणा"
"abhorrent";"Adj";"घृणित"
"abide";"V";"सहनकरना"
"abide";"V";"एकजगहरहना"
"ability";"N";"योग्यता"
"abject";"Adj";"अति"
"abject";"Adj";"बहुतज्यादा"
"abjure";"V";"शपथत्यागकरना"
"ablaze";"Adj";"जलाहुआ"
"able";"Adj";"समर्थ"
"able";"Adj";"चतुर"
"ablutions";"N";"प्रक्षालन"
"abnormal";"Adj";"असामान्य"
"aboard";"Adv";"सवार"
"aboard";"Prep";"परसवार"
"abode";"N";"आवास"
"abolish";"VT";"उन्मूलनकरना"
"abolition";"N";"उन्मूलन"
"abominable";"Adj";"घृणित"
"abomination";"N";"घृणा"
"aboriginal";"Adj";"आदिम"
"aborigine";"N";"प्राचीनदेशवासी"
"abort";"VI";"गर्भ पात होना"
"abort";"VI";"छोडदेनाअधूरा"
"abortion";"N";"गर्भपात"
"abortionist";"N";"गर्भपात करवाने वाला"
"abortive";"Adj";"निष्फल"
"abound";"V";"बहुतायातसेहोना"
"about";"Adv";"चारो-ओर"
"about";"Adv";"इधर उधर"
"about";"Adv";"लगभग"
"about";"Adv";"बहुत हो गया"
"about";"Prep";"केबारेमें"
"about";"Prep";"आसपास"
"about-turn";"N";"पलटना"
"above";"Adv";"ऊचा"
"above";"Prep";"ऊपर"
"above";"Adj";"ऊपरका"
"abracadabra";"N";"जादू का मंत्र"
"abrade";"V";"घिसना"
"abrasion";"N";"रगड"
"abrasive";"Adj";"चोट पहुचा ने वाला"
"abrasive";"N";"पीसनेयारगडनेकीवस्तु"
"abrasively";"Adv";"रगडके"
"abrasiveness";"N";"बुराव्यवहार"
"abreast";"Adv";"बराबरमें"
"abridge";"VT";"संक्षेपणकरना"
"abridged";"Adj";"संक्षिप्त"
"abridgement";"N";"संक्षेपण"
"abroad";"Adv";"विदेशमें"
"abroad";"Adv";"प्रचलित"
"abrogate";"VT";"रद्दकरना"
"abrupt";"Adj";"आकस्मिक"
"abrupt";"Adj";"रूखा"
"abrupt";"Adj";"असम्बद्ध"
"abruptly";"Adv";"आकस्मिकरुपसे"
"abruptness";"N";"आकस्मिकता"
"abscess";"N";"फोडआ"
"abscond";"V";"फरारहोना"
"absence";"N";"अनुपस्थिति"
"absent";"Adj";"अनुपस्थित"
"absent-minded";"Adj";"अनमना"
"absent-minded";"Adj";"खोया-खोया"
"absent";"VT";"अनुपस्थितहोना"
"absentee";"N";"अनुपस्थितजन"
"absolute";"Adj";"पूर्णतया"
"absolute";"N";"परमसिद्धांत"
"absolute majority";"N";"पूर्णबहुमत"
"absolutely";"Adv";"पूर्णत"
"absolution";"N";"क्षमादान"
"absolutism";"N";"राजनीतिसंबंधीनिरंकुशता"
"absolve";"VT";"विमुक्तकरना/क्षमाकरना"
"absorb";"VT";"सोखना"
"absorb";"VT";"ग्रहणकरना"
"absorbed";"Adj";"लीन"
"absorbed";"Adj";"सोखा हुआ"
"absorbing";"Adj";"दिलचस्प"
"absorption";"N";"अवशोषित करना"
"abstain";"V";"परहेजकरना"
"abstain";"V";"सेदूररहना"
"abstainer";"N";"सेदूररहनेवाला"
